ds;yhat
2024-12-06 00:00:00;9661.061008944494
2024-12-06 00:15:00;9575.909939720728
2024-12-06 00:30:00;9493.891969611985
2024-12-06 00:45:00;9417.201177084702
2024-12-06 01:00:00;9348.211400691373
2024-12-06 01:15:00;9289.35918523916
2024-12-06 01:30:00;9243.018103649176
2024-12-06 01:45:00;9211.372058936173
2024-12-06 02:00:00;9196.295244420213
2024-12-06 02:15:00;9199.246020990655
2024-12-06 02:30:00;9221.18108784896
2024-12-06 02:45:00;9262.495037908124
2024-12-06 03:00:00;9322.988789846853
2024-12-06 03:15:00;9401.868579867252
2024-12-06 03:30:00;9497.775299975623
2024-12-06 03:45:00;9608.842110449918
2024-12-06 04:00:00;9732.7765506345
2024-12-06 04:15:00;9866.961941119078
2024-12-06 04:30:00;10008.571792502285
2024-12-06 04:45:00;10154.690286521973
2024-12-06 05:00:00;10302.431705971947
2024-12-06 05:15:00;10449.051967657078
2024-12-06 05:30:00;10592.046128759905
2024-12-06 05:45:00;10729.226844548499
2024-12-06 06:00:00;10858.780159537064
2024-12-06 06:15:00;10979.296628543785
2024-12-06 06:30:00;11089.777466374559
2024-12-06 06:45:00;11189.61710057871
2024-12-06 07:00:00;11278.565034578714
2024-12-06 07:15:00;11356.671218343297
2024-12-06 07:30:00;11424.220080552926
2024-12-06 07:45:00;11481.658942738271
2024-12-06 08:00:00;11529.526677394811
2024-12-06 08:15:00;11568.388185303622
2024-12-06 08:30:00;11598.779579306978
2024-12-06 08:45:00;11621.16792937805
2024-12-06 09:00:00;11635.928123200663
2024-12-06 09:15:00;11643.337927857376
2024-12-06 09:30:00;11643.590809107174
2024-12-06 09:45:00;11636.824587730207
2024-12-06 10:00:00;11623.162696682795
2024-12-06 10:15:00;11602.763743718962
2024-12-06 10:30:00;11575.87436024131
2024-12-06 10:45:00;11542.879981925831
2024-12-06 11:00:00;11504.348285184153
2024-12-06 11:15:00;11461.06049236716
2024-12-06 11:30:00;11414.026624016444
2024-12-06 11:45:00;11364.481956733642
2024-12-06 12:00:00;11313.863357711303
2024-12-06 12:15:00;11263.765710064126
2024-12-06 12:30:00;11215.880204975603
2024-12-06 12:45:00;11171.917746103747
2024-12-06 13:00:00;11133.52197842665
2024-12-06 13:15:00;11102.177425066315
2024-12-06 13:30:00;11079.11881676829
2024-12-06 13:45:00;11065.247880389452
2024-12-06 14:00:00;11061.06359472007
2024-12-06 14:15:00;11066.611235379729
2024-12-06 14:30:00;11081.454455133746
2024-12-06 14:45:00;11104.673250580941
2024-12-06 15:00:00;11134.889041301685
2024-12-06 15:15:00;11170.31634169655
2024-12-06 15:30:00;11208.838756833164
2024-12-06 15:45:00;11248.105399662254
2024-12-06 16:00:00;11285.642422421695
2024-12-06 16:15:00;11318.973276998551
2024-12-06 16:30:00;11345.740645196973
